Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the right,18,0,1,1
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Overtaking,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,22,1,0,0
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,22,1,0,0
Sunday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,Moving Backward,15,0,0,1
Wednesday,Unknown,Male,Above high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,Not a Pedestrian,No priority to vehicle,8,0,1,0
Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Moving Backward,16,0,0,0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Turnover,19,0,1,0
Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Other,Not a Pedestrian,Driving carelessly,8,0,1,0
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Unknown,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,Not a Pedestrian,No distancing,7,0,1,1
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Below 1yr,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Other,Not a Pedestrian,No distancing,14,0,0,0
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,18,0,1,1
Friday,Unknown,Male,High school,Owner,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,No distancing,22,1,0,0
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,4,Getting off,Not a Pedestrian,Changing lane to the right,12,0,0,1
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No priority to pedestrian,15,0,0,1
Wednesday,Under 18,Male,Elementary school,Employee,5-10yr,Bicycle,Organization,5-10yrs,No defect,Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Not a Pedestrian,Changing lane to the left,17,0,1,0
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Unknown,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Not a Pedestrian,Driving to the left,17,0,1,1
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Turnover,8,0,1,0
Wednesday,18-30,Male,Illiterate,Employee,Unknown,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,16,0,0,0
Thursday,31-50,Male,Unknown,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Not a Pedestrian,Changing lane to the right,20,1,0,0
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Turnover,Not a Pedestrian,No distancing,22,1,0,0
Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,17,0,1,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Governmental,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Not a Pedestrian,Driving carelessly,10,0,0,0
Saturday,31-50,Male,High school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Getting off,Not a Pedestrian,No distancing,14,0,0,1
Thursday,31-50,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,Unknown or other,Overloading,12,0,0,0
Saturday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,10,0,0,1
Wednesday,Over 51,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,21,1,0,0
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to vehicle,17,0,1,0
Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Going straight,Not a Pedestrian,Driving carelessly,21,1,0,0
Sunday,Over 51,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Unknown,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Driving at high speed,22,1,0,1
Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,19,0,1,0
Tuesday,Unknown,Male,High school,Owner,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,16,0,0,0
Wednesday,18-30,Male,Elementary school,Employee,1-2yr,Unknown,Unknown,Unknown,Unknown,Residential areas,other,Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,17,0,1,0
Saturday,Over 51,Male,Elementary school,Owner,5-10yr,Motorcycle,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,23,1,0,1
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,2-5yrs,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,16,0,0,0
Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,No priority to pedestrian,13,0,0,1
Saturday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,Unknown,Office areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Unknown,Not a Pedestrian,Changing lane to the left,22,1,0,1
Tuesday,Under 18,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Going straight,Not a Pedestrian,Driving at high speed,11,0,0,0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Getting off,Not a Pedestrian,No distancing,9,0,1,0
Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Not a Pedestrian,Moving Backward,14,0,0,0
Sunday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,1-2yr,5,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,No distancing,18,0,1,1
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Unknown,Owner,Above 10yr,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Moving Backward,17,0,1,0
Wednesday,18-30,Male,Unknown,Owner,5-10yr,Automobile,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,No distancing,13,0,0,0
Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Stationwagen,Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,1,1,0,1
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,11,0,0,1
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Moving Backward,7,0,1,0
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Moving Backward,Not a Pedestrian,Changing lane to the right,17,0,1,0
Tuesday,Over 51,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Getting off,Not a Pedestrian,Driving carelessly,20,1,0,0
Monday,31-50,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Owner,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No priority to pedestrian,23,1,0,0
Monday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,13,0,0,0
Friday,31-50,Male,High school,Employee,Below 1yr,Automobile,Unknown,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,No distancing,11,0,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Changing lane to the right,19,0,1,0
Wednesday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,0,0,0
Friday,31-50,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,5,Overtaking,Not a Pedestrian,No distancing,19,0,1,0
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,20,1,0,0
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,16,0,0,0
Wednesday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No priority to pedestrian,10,0,0,0
Tuesday,Unknown,Female,Junior high school,Owner,5-10yr,Unknown,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Not a Pedestrian,No distancing,8,0,1,0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Taxi,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,Driving carelessly,7,0,1,0
